kinematic_control
dt,head_des_x,head_des_y,head_des_z,reye_des_x,reye_des_y,reye_des_z,leye_des_x,leye_des_y,leye_des_z,head_cur_x,head_cur_y,head_cur_z,reye_cur_x,reye_cur_y,reye_cur_z,leye_cur_x,leye_cur_y,leye_cur_z,head_ori_error,reye_orientation_error,leye_orientation_error,h1,h2,h3,h4,h5,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,rank_t1,rank_t2
0.05,0.7244,0.0657,0.226,0.7558,-0.0079,0.1604,0.7511,0.0517,0.1604,0.6963,0.0638,0.3578,0.509,-0.182,0.6354,0.4756,0.263,0.6366,0.1664,0.0039,0.0,0.0,0.0,0.0,1.0,1.0,0.0512,0.0769,-0.004,0.0514,-0.0887,-0.0252,-0.0926,0.0041,0.0062,-0.0007,0.0042,-0.0073,-0.0025,-0.0062,3.0,3.0
0.05,0.723,0.0703,0.2322,0.7555,-0.0047,0.1619,0.7511,0.0516,0.1619,0.6939,0.0682,0.3636,0.5068,-0.1784,0.6389,0.471,0.266,0.6407,0.1734,0.0039,0.0031,0.0,0.0,0.0,1.0,1.0,0.0553,0.0831,-0.0046,0.0555,-0.096,-0.0277,-0.0988,0.0042,0.0063,-0.0007,0.0042,-0.0075,-0.0026,-0.0089,3.0,3.0
0.05,0.7217,0.075,0.2385,0.7552,-0.0015,0.1635,0.751,0.0515,0.1635,0.6915,0.0727,0.3695,0.5045,-0.1749,0.6425,0.4663,0.2691,0.6447,0.1805,0.0039,0.0,0.0,0.0,0.0,1.0,1.0,0.0595,0.0894,-0.0054,0.0597,-0.1035,-0.0302,-0.1077,0.0042,0.0064,-0.0008,0.0043,-0.0075,-0.0026,-0.0064,3.0,3.0
0.05,0.7203,0.0797,0.2447,0.7549,0.0017,0.1651,0.7509,0.0514,0.1651,0.6891,0.0772,0.3753,0.5021,-0.1713,0.6461,0.4614,0.2722,0.6488,0.1876,0.0039,0.0033,0.0,0.0,0.0,1.0,1.0,0.0637,0.0958,-0.0062,0.064,-0.111,-0.0328,-0.1141,0.0042,0.0064,-0.0008,0.0043,-0.0075,-0.0027,-0.009,3.0,3.0
0.05,0.719,0.0843,0.251,0.7546,0.0049,0.1666,0.7509,0.0513,0.1666,0.6867,0.0817,0.3812,0.4998,-0.1678,0.6497,0.4566,0.2753,0.6529,0.1948,0.0039,0.0,0.0,0.0,0.0,1.0,1.0,0.0679,0.1022,-0.007,0.0682,-0.1185,-0.0355,-0.1231,0.0042,0.0064,-0.0009,0.0043,-0.0075,-0.0027,-0.0064,3.0,3.0
0.05,0.7176,0.089,0.2571,0.7542,0.0081,0.1681,0.7508,0.0512,0.1681,0.6844,0.0861,0.3869,0.4973,-0.1642,0.6533,0.4516,0.2783,0.657,0.2019,0.0038,0.0036,0.0,0.0,0.0,1.0,1.0,0.0721,0.1086,-0.0079,0.0725,-0.1261,-0.0382,-0.1295,0.0042,0.0064,-0.0009,0.0043,-0.0075,-0.0027,-0.0089,3.0,3.0
0.05,0.7163,0.0935,0.2632,0.7539,0.0112,0.1697,0.7508,0.0511,0.1697,0.6821,0.0904,0.3926,0.4949,-0.1607,0.6569,0.4467,0.2814,0.661,0.2089,0.0038,0.003,0.0,0.0,0.0,1.0,1.0,0.0763,0.1149,-0.0088,0.0768,-0.1336,-0.0409,-0.1385,0.0041,0.0063,-0.001,0.0042,-0.0074,-0.0027,-0.0076,3.0,3.0
0.05,0.715,0.098,0.2692,0.7536,0.0143,0.1712,0.7507,0.051,0.1712,0.6798,0.0947,0.3982,0.4925,-0.1572,0.6605,0.4417,0.2843,0.665,0.2158,0.0037,0.0032,0.0,0.0,0.0,1.0,1.0,0.0804,0.1212,-0.0098,0.081,-0.141,-0.0437,-0.1461,0.0041,0.0062,-0.001,0.0042,-0.0073,-0.0027,-0.0075,3.0,3.0
0.05,0.7137,0.1024,0.275,0.7533,0.0173,0.1726,0.7506,0.051,0.1726,0.6777,0.0989,0.4036,0.49,-0.1538,0.664,0.4368,0.2873,0.6689,0.2225,0.0036,0.0035,0.0,0.0,0.0,1.0,1.0,0.0845,0.1274,-0.0108,0.0851,-0.1483,-0.0464,-0.1535,0.004,0.0061,-0.001,0.0041,-0.0072,-0.0027,-0.0073,3.0,3.0
0.05,0.7125,0.1066,0.2807,0.753,0.0202,0.174,0.7506,0.0509,0.174,0.6755,0.1029,0.4089,0.4876,-0.1505,0.6674,0.432,0.2901,0.6728,0.2291,0.0036,0.0037,0.0,0.0,0.0,1.0,1.0,0.0885,0.1335,-0.0119,0.0892,-0.1555,-0.0491,-0.1609,0.0039,0.006,-0.0011,0.004,-0.007,-0.0027,-0.0072,3.0,3.0
0.05,0.7113,0.1108,0.2862,0.7527,0.0231,0.1754,0.7505,0.0508,0.1754,0.6735,0.1069,0.414,0.4852,-0.1473,0.6707,0.4272,0.2929,0.6765,0.2354,0.0035,0.004,0.0,0.0,0.0,1.0,1.0,0.0923,0.1395,-0.0129,0.0932,-0.1625,-0.0518,-0.1681,0.0038,0.0058,-0.0011,0.0039,-0.0068,-0.0027,-0.007,3.0,3.0
0.05,0.7102,0.1147,0.2915,0.7524,0.0258,0.1767,0.7505,0.0507,0.1767,0.6715,0.1106,0.4189,0.4829,-0.1441,0.674,0.4225,0.2955,0.6801,0.2415,0.0034,0.0042,0.0,0.0,0.0,1.0,1.0,0.0961,0.1453,-0.014,0.0971,-0.1693,-0.0545,-0.175,0.0036,0.0056,-0.0011,0.0037,-0.0066,-0.0026,-0.0067,3.0,3.0
0.05,0.7091,0.1185,0.2965,0.7522,0.0284,0.178,0.7504,0.0506,0.178,0.6696,0.1142,0.4236,0.4806,-0.1411,0.6771,0.4179,0.2981,0.6836,0.2473,0.0033,0.0045,0.0,0.0,0.0,1.0,1.0,0.0997,0.1509,-0.0151,0.1008,-0.1758,-0.0571,-0.1818,0.0035,0.0054,-0.0011,0.0036,-0.0063,-0.0025,-0.0065,3.0,3.0
0.05,0.708,0.1221,0.3013,0.7519,0.0309,0.1792,0.7504,0.0506,0.1792,0.6679,0.1177,0.428,0.4784,-0.1382,0.6801,0.4135,0.3006,0.6869,0.2528,0.0032,0.0047,0.0,0.0,0.0,1.0,1.0,0.1032,0.1562,-0.0162,0.1044,-0.1821,-0.0596,-0.1882,0.0033,0.0051,-0.0011,0.0034,-0.006,-0.0025,-0.0062,3.0,3.0
0.05,0.7071,0.1255,0.3059,0.7517,0.0332,0.1803,0.7503,0.0505,0.1803,0.6662,0.1209,0.4323,0.4763,-0.1354,0.6829,0.4092,0.3029,0.69,0.2579,0.0031,0.0049,0.0,0.0,0.0,1.0,1.0,0.1065,0.1614,-0.0172,0.1079,-0.1881,-0.0621,-0.1944,0.0031,0.0049,-0.001,0.0033,-0.0057,-0.0024,-0.0059,3.0,3.0
0.05,0.7061,0.1287,0.3101,0.7515,0.0354,0.1814,0.7503,0.0504,0.1814,0.6646,0.1239,0.4362,0.4743,-0.1328,0.6856,0.4052,0.3051,0.693,0.2627,0.003,0.0052,0.0,0.0,0.0,1.0,1.0,0.1097,0.1662,-0.0183,0.1112,-0.1938,-0.0644,-0.2003,0.003,0.0046,-0.001,0.0031,-0.0054,-0.0023,-0.0056,3.0,3.0
0.05,0.7053,0.1317,0.3141,0.7513,0.0374,0.1824,0.7502,0.0504,0.1824,0.6632,0.1268,0.4399,0.4723,-0.1304,0.6882,0.4013,0.3071,0.6958,0.2672,0.0029,0.0054,0.0,0.0,0.0,1.0,1.0,0.1127,0.1709,-0.0193,0.1143,-0.1992,-0.0667,-0.2059,0.0028,0.0043,-0.001,0.0029,-0.0051,-0.0022,-0.0052,3.0,3.0
0.05,0.7045,0.1345,0.3178,0.7511,0.0393,0.1833,0.7502,0.0503,0.1833,0.6618,0.1294,0.4433,0.4705,-0.1281,0.6906,0.3977,0.3091,0.6984,0.2713,0.0,0.0056,0.0,0.0,0.0,1.0,1.0,0.1154,0.1752,-0.0202,0.1172,-0.2043,-0.0689,-0.2111,0.0026,0.004,-0.0009,0.0027,-0.0051,-0.0041,-0.0048,3.0,3.0
0.05,0.7038,0.137,0.3211,0.7509,0.0411,0.1842,0.7502,0.0503,0.1842,0.6606,0.1318,0.4464,0.4688,-0.1259,0.6928,0.3943,0.3108,0.7009,0.2766,0.0044,0.0058,0.0,0.0,0.0,1.0,1.0,0.118,0.1792,-0.0212,0.1199,-0.2094,-0.073,-0.2159,0.0024,0.0037,-0.0009,0.0025,-0.0039,0.0001,-0.0045,3.0,3.0
0.05,0.7031,0.1393,0.3242,0.7507,0.0426,0.1849,0.7501,0.0502,0.1849,0.6595,0.1339,0.4492,0.4672,-0.124,0.6948,0.3912,0.3125,0.7031,0.2783,0.0,0.006,0.0,0.0,0.0,1.0,1.0,0.1204,0.1829,-0.022,0.1223,-0.2133,-0.0728,-0.2204,0.0022,0.0034,-0.0008,0.0023,-0.0043,-0.0035,-0.0041,3.0,3.0
0.05,0.7025,0.1413,0.3269,0.7506,0.044,0.1856,0.7501,0.0502,0.1856,0.6585,0.1359,0.4518,0.4657,-0.1222,0.6967,0.3883,0.314,0.7051,0.2826,0.0038,0.0061,0.0,0.0,0.0,1.0,1.0,0.1225,0.1863,-0.0228,0.1246,-0.2177,-0.0763,-0.2245,0.002,0.0031,-0.0007,0.0021,-0.0033,0.0,-0.0037,3.0,3.0
0.05,0.702,0.1431,0.3293,0.7505,0.0453,0.1862,0.7501,0.0501,0.1862,0.6576,0.1376,0.454,0.4644,-0.1206,0.6983,0.3857,0.3153,0.707,0.2839,0.0,0.0064,0.0,0.0,0.0,1.0,1.0,0.1245,0.1894,-0.0236,0.1267,-0.2209,-0.0763,-0.2282,0.0017,0.0027,-0.0007,0.0018,-0.0035,-0.0028,-0.0033,3.0,3.0
0.05,0.7015,0.1447,0.3314,0.7504,0.0463,0.1867,0.7501,0.0501,0.1867,0.6569,0.1391,0.4559,0.4632,-0.1191,0.6998,0.3833,0.3165,0.7086,0.2871,0.0033,0.0065,0.0,0.0,0.0,1.0,1.0,0.1263,0.1921,-0.0242,0.1285,-0.2244,-0.0791,-0.2315,0.0015,0.0024,-0.0006,0.0016,-0.0026,-0.0001,-0.0029,3.0,3.0
0.05,0.7012,0.146,0.3332,0.7503,0.0473,0.1872,0.7501,0.0501,0.1872,0.6562,0.1403,0.4576,0.4621,-0.1179,0.7011,0.3812,0.3175,0.71,0.288,0.0,0.0066,0.0,0.0,0.0,1.0,1.0,0.1278,0.1945,-0.0248,0.1302,-0.2271,-0.0792,-0.2344,0.0013,0.0021,-0.0005,0.0014,-0.0027,-0.0022,-0.0025,3.0,3.0
0.05,0.7008,0.1471,0.3346,0.7502,0.048,0.1875,0.75,0.0501,0.1875,0.6557,0.1414,0.4589,0.4612,-0.1168,0.7023,0.3794,0.3184,0.7113,0.2902,0.0029,0.0067,0.0,0.0,0.0,1.0,1.0,0.1291,0.1966,-0.0254,0.1316,-0.2297,-0.0813,-0.237,0.0011,0.0018,-0.0005,0.0012,-0.002,-0.0002,-0.0022,3.0,3.0
0.05,0.7006,0.148,0.3358,0.7501,0.0486,0.1878,0.75,0.05,0.1878,0.6553,0.1422,0.4601,0.4604,-0.1158,0.7033,0.3779,0.3192,0.7124,0.2908,0.0,0.0068,0.0,0.0,0.0,1.0,1.0,0.1303,0.1984,-0.0258,0.1328,-0.2317,-0.0815,-0.2391,0.0009,0.0015,-0.0004,0.001,-0.0019,-0.0015,-0.0018,3.0,3.0
