kinematic_control
dt,head_des_x,head_des_y,head_des_z,reye_des_x,reye_des_y,reye_des_z,leye_des_x,leye_des_y,leye_des_z,head_cur_x,head_cur_y,head_cur_z,reye_cur_x,reye_cur_y,reye_cur_z,leye_cur_x,leye_cur_y,leye_cur_z,head_ori_error,reye_orientation_error,leye_orientation_error,h1,h2,h3,h4,h5,q0,q1,q2,q3,q4,q5,q6,dq0,dq1,dq2,dq3,dq4,dq5,dq6,rank_t1,rank_t2
0.05,0.7012,0.5472,0.437,0.7501,0.0495,0.1882,0.75,0.05,0.1882,nan,nan,nan,0.7501,0.0495,0.1882,0.75,0.05,0.1882,0.7294,0.0082,0.011,0.0,0.0,0.9521,1.0,1.0,0.1546,0.438,-0.0665,0.1773,-0.2958,-0.371,-0.5137,0.0006,0.0,-0.0002,0.0007,-0.0012,0.0005,-0.0,3.0,3.0
0.05,0.7006,0.5485,0.4377,0.75,0.0497,0.1884,0.75,0.05,0.1884,nan,nan,nan,0.75,0.0497,0.1884,0.75,0.05,0.1884,0.7306,0.0081,0.0109,0.0,0.0,0.9525,1.0,1.0,0.1552,0.438,-0.0666,0.178,-0.297,-0.3705,-0.5137,0.0004,0.0,-0.0001,0.0005,-0.001,0.0003,-0.0,3.0,3.0
0.05,0.7003,0.5494,0.4381,0.75,0.0499,0.1884,0.75,0.05,0.1884,nan,nan,nan,0.75,0.0499,0.1884,0.75,0.05,0.1884,0.7313,0.008,0.0108,0.0,0.0,0.9528,1.0,1.0,0.1556,0.438,-0.0668,0.1786,-0.298,-0.3701,-0.5137,0.0003,0.0,-0.0001,0.0004,-0.0007,0.0002,-0.0,3.0,3.0
0.05,0.7001,0.5498,0.4384,0.75,0.05,0.1885,0.75,0.05,0.1885,nan,nan,nan,0.75,0.05,0.1885,0.75,0.05,0.1885,0.7316,0.0079,0.0107,0.0,0.0,0.9529,1.0,1.0,0.1559,0.4381,-0.0668,0.1789,-0.2987,-0.3699,-0.5138,0.0002,0.0,-0.0,0.0002,-0.0005,0.0001,-0.0,3.0,3.0
0.05,0.7,0.55,0.4385,0.75,0.05,0.1885,0.75,0.05,0.1885,nan,nan,nan,0.75,0.05,0.1885,0.75,0.05,0.1885,0.7317,0.0079,0.0106,0.0,0.0,0.953,1.0,1.0,0.1562,0.4381,-0.0669,0.1792,-0.2993,-0.3698,-0.5138,0.0001,0.0,-0.0,0.0001,-0.0003,0.0,-0.0,3.0,3.0
0.05,0.7,0.55,0.4385,0.75,0.05,0.1885,0.75,0.05,0.1885,nan,nan,nan,0.75,0.05,0.1885,0.75,0.05,0.1885,0.7317,0.0078,0.0105,0.0,0.0,0.953,1.0,1.0,0.1563,0.4381,-0.0669,0.1793,-0.2996,-0.3697,-0.5138,0.0001,0.0,0.0,0.0001,-0.0002,0.0,0.0,3.0,3.0
0.05,0.7,0.55,0.4385,0.75,0.05,0.1885,0.75,0.05,0.1885,nan,nan,nan,0.75,0.05,0.1885,0.75,0.05,0.1885,0.7317,0.0077,0.0104,0.0,0.0,0.953,1.0,1.0,0.1563,0.4381,-0.0669,0.1794,-0.2998,-0.3697,-0.5138,0.0,0.0,0.0,0.0,-0.0001,-0.0,0.0,3.0,3.0
0.05,0.7982,0.3888,0.4383,0.75,0.0499,0.1889,0.75,0.0499,0.1889,nan,nan,nan,0.75,0.0499,0.1889,0.75,0.0499,0.1889,0.528,0.0077,0.0104,0.0,0.0,0.953,1.0,1.0,0.1564,0.4381,-0.0668,0.1794,-0.2999,-0.3697,-0.5138,-0.0001,-0.0048,0.0008,-0.0002,-0.0,0.0049,0.0049,3.0,3.0
0.05,0.7981,0.389,0.4377,0.75,0.0498,0.1889,0.75,0.0498,0.1889,nan,nan,nan,0.75,0.0498,0.1889,0.75,0.0498,0.1889,0.5283,0.0076,0.0103,0.0,0.0,0.8719,1.0,1.0,0.1562,0.4333,-0.0661,0.1792,-0.3,-0.3649,-0.5089,-0.0003,-0.0041,0.0007,-0.0004,0.0003,0.0041,0.0041,3.0,3.0
0.05,0.7978,0.3894,0.4362,0.75,0.0495,0.1889,0.75,0.0495,0.1889,nan,nan,nan,0.75,0.0495,0.1889,0.75,0.0495,0.1889,0.5284,0.0075,0.0101,0.0,0.0,0.7786,1.0,1.0,0.156,0.4292,-0.0654,0.1789,-0.2997,-0.3607,-0.5048,-0.0005,-0.0028,0.0007,-0.0007,0.0009,0.0029,0.0029,3.0,3.0
